"country"	"date"	"survey"	"pc_households_with_at_least_one_ITN"	"pc_households_with_at_least_one_ITN_for_every_two_persons_who_stayed_in_the_household_the_previous_night"	"pc_households_with_IRS_in_the_past_12_months"	"pc_households_with_at_least_one_ITN_and_or_IRS_in_the_past_12_months"	"pc_households_with_at_least_one_ITN_for_every_two_persons_and_or_IRS_in_the_past_12_months"	"pc_population_with_access_to_an_ITN"	"pc_population_who_slept_under_an_ITN_last_night"	"pc_ITNs_that_were_used_last_night"	"pc_pregnant_women_who_slept_under_an_ITN"	"pc_pregnant_women_who_took_3_doses_of_IPTp"	"pc_children_under_5_who_slept_under_an_ITN_1"	"pc_children_under_5_with_moderate_or_severe_anaemia"	"pc_children_under_5_with_a_positive_RDT"	"pc_children_under_5_with_fever_with_a_positive_microscopy_blood_smear"	"pc_children_under_5_with_fever_for_whom_advice_or_treatment_was_sought"	"pc_children_under_5_with_fever_who_had_blood_taken_from_a_finger_or_heel_for_testing"	"pc_children_under_5_with_fever_who_took_antimalarial_drugs"	"pc_children_under_5_with_fever_who_took_an_ACT_among_those_who_received_any_antimalarial"	"region"
"Benin"	2018	"DHS"	91.5	60.5	8.7	92	63.8	77.2	71.1	73.4	79.3	13.7	76.3	43.8	36.3	39.1	53.1	17.7	17.5	37	"Africa"
"Burkina Faso"	2018	"MIS"	75.3	32.8	NA	NA	NA	54.5	44.1	76	58.2	57.7	54.4	50.1	20.2	16.9	73.5	48.8	51.1	79.4	"Africa"
"Cameroon"	2018	"DHS"	73.4	40.7	NA	NA	NA	58.5	53.9	76.2	61	31.9	59.8	31	24	NA	61	21.4	32.7	21.2	"Africa"
"Gambia"	2020	"DHS"	77.3	36.3	NA	NA	NA	60.8	37.8	55	44.2	52.2	44	20.7	0.4	NA	64.2	27.3	3.5	46.7	"Africa"
"Ghana"	2019	"MIS"	73.7	51.8	5.8	75	54.7	66.7	43.2	50.1	48.7	61	54.1	27.9	23	14.1	69	34.1	45.9	84.5	"Africa"
"Guinea"	2018	"DHS"	43.9	16.7	NA	NA	NA	30.7	22.7	64	28.1	35.7	26.6	43.8	NA	NA	62.3	20.5	24.8	18.2	"Africa"
"Guinea"	2021	"MIS"	63.3	22	NA	NA	NA	41.9	33.4	72	39.4	50.3	38.2	45.5	33.7	17.4	61.1	28	31.4	38	"Africa"
"Kenya"	2020	"MIS"	49	28.7	NA	NA	NA	39.6	34.9	80.2	39.8	22	42	21.3	4.4	3	63.6	35.5	20.2	91	"Africa"
"Liberia"	2020	"DHS"	54.7	25.2	NA	NA	NA	39.7	39	74.7	46.5	40.3	44.3	41.6	NA	NA	80.9	49	52.1	41.2	"Africa"
"Madagascar"	2021	"DHS"	69.1	30.1	NA	NA	NA	48.4	48.8	77.3	54.9	31	55.6	20.2	7.5	NA	44.6	19.9	15.3	54.7	"Africa"
