"country"	"Year"	"No_of_LLINs_delivered"	"Modelled_percentage_of_population_with_access_to_an_ITN"	"No_of_people_protected_by_IRS"	"No_of_RDTs_distributed"	"Any_first_line_treatment_courses_delivered_including_ACT_"	"No_of_malaria_cases_treated_with_any_first_line_treatment_courses_including_ACT_"	"ACT_treatment_courses_delivered"	"No_of_malaria_cases_treated_with_ACT"	"region"
"Angola"	2019	15293686	27.5	NA	NA	2477124	5575259	2477124	5575259	"Africa"
"Angola"	2020	528563	15.5	44633	7570498	2575738	5797209	2575738	5797209	"Africa"
"Angola"	2021	875247	16.8	620815	6481900	4215061	7793251	4215061	7793251	"Africa"
"Benin"	2019	505670	29.9	1077411	3984677	4455581	2353657	4455581	2353657	"Africa"
"Benin"	2020	13103447	68.5	1104928	4202384	3966505	2095303	3966505	2095303	"Africa"
"Benin"	2021	662290	64	927007	2298798	2985960	2985960	2985960	2985960	"Africa"
"Botswana"	2019	19932	NA	154663	2526	3198	272	3198	272	"Africa"
"Botswana"	2020	80525	NA	152560	NA	11205	953	11205	953	"Africa"
"Botswana"	2021	NA	NA	24620	NA	NA	NA	NA	NA	"Africa"
"Burkina Faso"	2019	1145782	66.5	587248	NA	12428300	11223002	12428300	11223002	"Africa"
"Burkina Faso"	2020	1017084	69.4	508017	12936865	11336876	10237424	11336876	10237424	"Africa"
"Burkina Faso"	2021	1353233	52	591249	9794711	8892174	11030942	8892174	11030942	"Africa"
"Burundi"	2019	7528556	50	725449	NA	9338611	8444710	9271032	8444710	"Africa"
"Burundi"	2020	729431	65.2	1243848	7773268	4743324	4289288	4708998	4289288	"Africa"
"Burundi"	2021	802309	66.9	914778	9563340	11404672	5953811	5693645	5693645	"Africa"
"Cabo Verde"	2019	NA	NA	302520	7867	40	40	40	40	"Africa"
"Cabo Verde"	2020	NA	NA	233171	4399	10	10	10	10	"Africa"
"Cabo Verde"	2021	NA	NA	241552	NA	21	21	21	21	"Africa"
"Cameroon"	2019	8860653	69.3	NA	2082527	1905965	1834114	1905965	1157011	"Africa"
