"country"	"ITNs_LLINs_are_distributed_free_of_charge"	"ITNs_LLINs_are_distributed_through_ANC"	"ITNs_LLINs_are_distributed_through_EPI_well_baby_clinic"	"ITNs_LLINs_are_distributed_through_mass_campaigns"	"IRS_is_recommended_by_malaria_control_programme"	"DDT_is_used_for_IRS"	"IPTp_is_used_to_prevent_malaria_during_pregnancy"	"SMC_or_IPTc_is_used"	"Malaria_diagnosis_is_free_of_charge_in_the_private_sector"	"Malaria_dagnosis_is_free_of_charge_in_the_public_sector"	"RDTs_are_used_at_community_level"	"G6PD_test_is_recommended_before_treatment_with_primaquine"	"ACT_for_treatment_of_P_falciparum"	"Pre_referral_treatment_with_quinine_or_artemether_IM_or_artesunate_suppositories"	"Single_low_dose_of_primaquine_with_ACT_to_reduce_transmissibility_of_P_falciparum1"	"Primaquine_is_used_for_radical_treatment_of_P_vivax_cases"	"Directly_observed_treatment_with_primaquine_is_undertaken"	"region"
"Angola"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"N"	"Y"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"Y"	"Africa"
"Benin"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"N"	"N"	"N"	"N"	"Africa"
"Botswana"	"Y"	"Y"	"Y"	"Y"	"Y"	"Y"	NA	NA	"Y"	"Y"	"N"	NA	"Y"	"Y"	"Y"	"Y"	"Y"	"Africa"
"Burkina Faso"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"Y"	"N"	"RNT"	"Y"	NA	"Y"	"Y"	NA	NA	NA	"Africa"
"Burundi"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"N"	"N"	"Y"	"Y"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Africa"
"Cabo Verde"	NA	NA	NA	NA	"Y"	"N"	NA	NA	NA	"Y"	"Y"	NA	"Y"	"N"	"Y"	"N"	"Y"	"Africa"
"Cameroon"	"Y"	"Y"	"N"	"Y"	"N"	"N"	"Y"	"Y"	"N"	"N"	"Y"	"N"	"Y"	"N"	"Y"	"N"	"N"	"Africa"
"Central African Republic"	"Y"	"Y"	"Y"	"Y"	"N"	"N"	"Y"	"Y"	"Y"	"RNT"	"Y"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Africa"
"Chad"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Africa"
"Comoros"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	NA	NA	"Y"	"Y"	NA	"Y"	"Y"	"Y"	"N"	"N"	"Africa"
"Congo"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"N"	"N"	"N"	"N"	NA	"Y"	"Y"	NA	NA	NA	"Africa"
"C™te d'Ivoire"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Y"	"N"	"N"	"Y"	"Y"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Africa"
"Democratic Republic of the Congo"	"Y"	"Y"	"Y"	"Y"	"N"	"N"	"Y"	"N"	"N"	"RNT"	"Y"	NA	"Y"	"Y"	NA	NA	NA	"Africa"
"Equatorial Guinea"	"Y"	"Y"	"N"	"Y"	"Y"	"N"	"Y"	"N"	NA	"Y"	"Y"	"N"	"Y"	"N"	"N"	"N"	"N"	"Africa"
"Eritrea"	"Y"	"Y"	"N"	"Y"	"Y"	"N"	"N"	NA	NA	"Y"	"Y"	"N"	"Y"	"Y"	"Y"	"Y"	"Y"	"Africa"
