"country"	"year"	"global_fund_donors"	"pmi_usaid_donors"	"world_bank_donors"	"uk_donors"	"government_country"	"global_fund_country"	"world_bank_country"	"pmi_usaid_country"	"other_bilateral_country"	"who_country"	"unicef_country"	"other_country"	"region"
"Chad"	2019	40139163	0	0	0	0	0	0	0	0	0	0	0	"Africa"
"Chad"	2020	13717911	0	0	0	0	0	0	0	0	0	0	0	"Africa"
"Chad"	2021	24286670	0	0	0	0	0	0	0	0	0	0	0	"Africa"
"Comoros"	2019	1592918	0	0	0	120896	824954	0	0	0	0	0	0	"Africa"
"Comoros"	2020	2007101	0	0	0	50278	1968573	0	0	0	0	1932	0	"Africa"
"Comoros"	2021	1256457	0	0	0	322003	1658731	0	0	38604	15627	0	0	"Africa"
"Congo"	2019	10841019	0	0	0	1360219	6689800	0	0	0	67741	0	15000	"Africa"
"Congo"	2020	5373274	0	0	0	18826146	12660948	0	7200	0	0	0	15000	"Africa"
"Congo"	2021	5077624	0	0	0	0	0	0	0	0	0	0	0	"Africa"
"Cote d'Ivoire"	2019	60074073	26354248	0	0	6428287	60947905	0	21342862	0	5984	60980	2500000	"Africa"
"Cote d'Ivoire"	2020	47183774	26038843	0	0	18144667	33908462	0	2.5e+07	0	0	0	0	"Africa"
"Cote d'Ivoire"	2021	42348291	2.5e+07	0	0	13921781	22074036	0	2.5e+07	0	8211	5076318	0	"Africa"
"Democratic Republic of the Congo"	2019	124338786	52708496	0	788010	1504555	112504296	0	41897052	0	148208	802250	0	"Africa"
"Democratic Republic of the Congo"	2020	158030595	57285454	0	1842905	1486548	141146584	0	39293479	0	412688	0	3.2e+07	"Africa"
"Democratic Republic of the Congo"	2021	143878029	54500000	0	1842905	1427241	104336236	0	70289620	0	328000	0	3.2e+07	"Africa"
"Equatorial Guinea"	2019	-230482	0	0	0	3324311	0	0	0	0	0	0	0	"Africa"
"Equatorial Guinea"	2020	0	0	0	0	3353293	0	0	0	0	0	0	0	"Africa"
"Equatorial Guinea"	2021	0	0	0	0	3219511	0	0	0	0	0	0	0	"Africa"
"Eritrea"	2019	9427262	0	0	0	423307	4788233	0	0	0	120000	0	0	"Africa"
"Eritrea"	2020	4649703	0	0	0	426998	12302113	0	0	0	0	0	0	"Africa"
"Eritrea"	2021	4210626	0	0	0	409962	3133493	0	0	0	0	0	0	"Africa"
"Eswatini"	2019	881581	0	0	0	883848	1005542	0	0	0	10613	0	0	"Africa"
"Eswatini"	2020	589281	0	0	0	916776	736128	0	0	0	10613	0	0	"Africa"
"Eswatini"	2021	1260814	0	0	0	841829	1434576	0	0	0	0	0	0	"Africa"
"Ethiopia"	2019	28113549	37950117	0	0	24148647	26083562	0	1.8e+07	0	0	0	122344828	"Africa"
"Ethiopia"	2020	15193760	37495933	0	0	27736303	27356758	0	3.2e+07	0	0	0	0	"Africa"
"Ethiopia"	2021	23136737	3.6e+07	0	0	26856645	22014812	0	3.6e+07	0	0	0	0	"Africa"
"Gabon"	2019	0	0	0	0	420789	0	0	0	1885319	0	0	0	"Africa"
"Gabon"	2020	-28247	0	0	0	83574	0	0	0	0	2000	0	6000	"Africa"
"Gabon"	2021	0	0	0	0	314372	0	0	0	44064	24141	15195	0	"Africa"
"Gambia"	2019	3596861	0	0	0	1268631	3940063	0	0	0	68000	90000	288646	"Africa"
"Gambia"	2020	5849843	0	0	0	961649	0	0	0	0	0	0	0	"Africa"
"Gambia"	2021	12725069	0	0	0	1100546	15802151	0	0	0	0	0	0	"Africa"
"Ghana"	2019	37709188	29516758	0	1541341	11350527	28442224	0	22448510	0	3e+05	0	0	"Africa"
"Ghana"	2020	37953867	29163504	0	768125	11350527	60415856	0	2.8e+07	0	3e+05	0	0	"Africa"
