"country"	"population"	"at_risk"	"at_high_risk"	"in_foci"	"cases_public_presumed"	"cases_public_confirmed"	"cases_private_presumed"	"cases_private_confirmed"	"cases_community_presumed"	"cases_community_confirmed"	"region"
"Angola"	34503776	34503776	34503776	NA	843346	8213612	NA	NA	NA	112309	"Africa"
"Benin"	12996895	12996895	12996895	NA	177572	1932123	109708	489485	NA	454760	"Africa"
"Botswana"	2588423	1708359	109024	NA	NA	724	NA	5	NA	NA	"Africa"
"Burkina Faso"	22100684	22100684	22100684	NA	362794	10923336	311111	620556	NA	247746	"Africa"
"Burundi"	12551213	12551213	12551213	NA	1995	5590025	783	557325	NA	468364	"Africa"
"Cabo Verde"	587925	152861	0	0	NA	21	NA	NA	NA	NA	"Africa"
"Cameroon"	27198628	27198628	19311025	NA	49458	1787028	36156	1282493	NA	265653	"Africa"
"Central African Republic"	5457154	5457154	5457154	NA	190364	1653733	28118	257872	2931	90544	"Africa"
"Chad"	17179740	17007943	11571413	NA	300177	1081279	54	13209	93089	324051	"Africa"
"Comoros"	821625	821625	390929	469420	NA	5887	NA	2831	NA	1829	"Africa"
"Congo"	5835806	5835806	5835806	NA	131788	189616	NA	NA	NA	NA	"Africa"
"Cote d'Ivoire"	27478248	27478248	27478248	NA	321809	6245474	17088	220519	NA	829075	"Africa"
"Democratic Republic of the Congo"	95894120	95894120	93017296	NA	3247358	23249165	NA	NA	NA	NA	"Africa"
"Equatorial Guinea"	1634466	1634466	1634466	NA	NA	NA	NA	NA	NA	NA	"Africa"
"Eritrea"	3620312	3620312	2570421	NA	573	25090	NA	NA	NA	18373	"Africa"
"Eswatini"	1192271	333836	0	NA	NA	374	NA	199	NA	8	"Africa"
"Ethiopia"	120283024	81792456	32716982	NA	87821	1335568	2786	61583	NA	NA	"Africa"
"Gabon"	2341179	2341179	2341179	NA	76238	64957	NA	NA	NA	NA	"Africa"
"Gambia"	2639916	2639916	2639916	NA	NA	75419	NA	1452	NA	416	"Africa"
"Ghana"	32833032	32833032	32833032	NA	184130	2947600	73481	871497	72347	1928488	"Africa"
"Guinea"	13531906	13531906	13531906	NA	NA	1966720	NA	1012	NA	454642	"Africa"
"Guinea-Bissau"	2060721	2060721	2060721	NA	NA	NA	NA	NA	NA	NA	"Africa"
"Kenya"	53005616	53005616	37207292	NA	427117	3828757	NA	NA	NA	NA	"Africa"
"Liberia"	5193416	5193416	5193416	NA	56511	586821	15031	223590	NA	102025	"Africa"
"Madagascar"	28915652	28915652	25378689	NA	NA	2238982	NA	100121	NA	NA	"Africa"
"Malawi"	19889742	19889742	19889742	NA	33923	5873486	NA	NA	NA	1075014	"Africa"
"Mali"	21904984	21904984	19966831	NA	341195	2863982	4512	63441	11533	276707	"Africa"
"Mauritania"	4614974	4614974	2975181	NA	30900	18660	NA	NA	NA	NA	"Africa"
"Mayotte"	316014	69523	15800	NA	NA	NA	NA	NA	NA	NA	"Africa"
"Mozambique"	32077072	32077072	32077072	NA	7465	8822472	NA	NA	3320	1273335	"Africa"
"Namibia"	2530151	1998819	1167943	NA	NA	13212	NA	NA	NA	526	"Africa"
"Niger"	25252722	25252722	25252722	NA	615202	3973854	NA	NA	NA	70853	"Africa"
"Nigeria"	213401328	213401328	162991666	NA	1984856	19757602	298755	1567584	NA	NA	"Africa"
"Rwanda"	13461888	13461888	13461888	NA	NA	245793	NA	266276	NA	651601	"Africa"
"Sao Tome and Principe"	223107	223107	223107	NA	NA	2227	NA	NA	NA	503	"Africa"
"Senegal"	16876720	16876720	16779341	NA	6083	403393	3084	11943	1756	121514	"Africa"
"Sierra Leone"	8420641	8420641	8420641	NA	74884	1669779	5505	206281	9527	77842	"Africa"
"South Africa"	59392256	5939226	2375690	7022322	NA	5812	NA	NA	NA	NA	"Africa"
"South Sudan"	10748272	10748272	10748272	NA	904682	1261203	NA	NA	227740	756024	"Africa"
"Togo"	8644829	8644829	8644829	NA	NA	181994	NA	251937	NA	562433	"Africa"
"Uganda"	45853776	45853776	45853776	NA	488843	10158662	319525	1775936	NA	2401789	"Africa"
"United Republic of Tanzania"	63588336	63588336	46208649	NA	6640	3918606	2147	538212	NA	NA	"Africa"
"Zambia"	19473124	19473124	19473124	NA	390101	5785915	NA	NA	NA	983227	"Africa"
"Zimbabwe"	15993524	12634884	4576706	4496523	NA	56268	NA	2108	NA	74761	"Africa"
"Belize"	400031	276021	0	0	NA	0	NA	NA	NA	0	"Americas"
"Bolivia (Plurinational State of)"	12079472	5435762	301745	NA	NA	9744	NA	215	NA	NA	"Americas"
"Brazil"	214326224	42865245	4929503	NA	NA	163585	NA	NA	NA	NA	"Americas"
"Colombia"	51516560	11333643	5176383	2578386	NA	73979	NA	NA	NA	NA	"Americas"
"Costa Rica"	5153957	1803885	51539	24952	NA	227	NA	5	NA	NA	"Americas"
"Dominican Republic"	11117873	6114830	157317	NA	NA	291	NA	NA	NA	NA	"Americas"
"Ecuador"	17797736	533932	162671	565066	NA	2436	NA	NA	NA	NA	"Americas"
"French Guiana"	297449	163597	27454	NA	NA	143	NA	NA	NA	NA	"Americas"
"Guatemala"	17608484	13206363	2402325	796086	NA	759	NA	2	NA	512	"Americas"
"Guyana"	804567	804567	87810	NA	NA	20828	NA	22	NA	NA	"Americas"
"Haiti"	11447569	10188336	2774776	NA	NA	5279	NA	1842	NA	2392	"Americas"
"Honduras"	10278345	9353294	2619744	124197	NA	701	NA	16	NA	940	"Americas"
"Mexico"	126705136	2534103	126705	197924	NA	275	NA	NA	NA	NA	"Americas"
"Nicaragua"	6850540	3014238	587981	593810	NA	19050	NA	NA	NA	4273	"Americas"
"Panama"	4351267	4220729	183362	NA	NA	3077	NA	0	NA	1287	"Americas"
"Peru"	33715472	13149034	1687796	NA	NA	18140	NA	NA	NA	NA	"Americas"
"Suriname"	612985	91948	26027	1261	NA	47	NA	4	NA	26	"Americas"
"Venezuela (Bolivarian Republic of)"	28199868	14099934	5848229	11356587	NA	194057	NA	NA	NA	NA	"Americas"
"Afghanistan"	40099464	30876587	10918282	NA	91	58108	4	3515	12	24640	"EastMediterranean"
"Djibouti"	1105557	829168	388138	NA	NA	58445	NA	471	NA	NA	"EastMediterranean"
"Iran (Islamic Republic of)"	87923432	879234	0	306646	NA	999	NA	NA	NA	NA	"EastMediterranean"
"Pakistan"	231402112	226774070	66914548	NA	557	229524	662	169573	NA	NA	"EastMediterranean"
"Saudi Arabia"	35950396	2876032	0	241840	NA	2616	NA	NA	NA	NA	"EastMediterranean"
"Somalia"	17065580	17065580	8685868	NA	37681	12967	NA	NA	NA	NA	"EastMediterranean"
"Sudan"	45657200	45657200	39676106	NA	2312910	1619625	NA	NA	NA	28120	"EastMediterranean"
"Yemen"	32981640	21108250	12688696	NA	53023	128894	11495	36959	NA	14486	"EastMediterranean"
"Cambodia"	16589023	11778206	7983633	22750	NA	1732	NA	NA	NA	2650	"Pacific"
"Lao People's Democratic Republic"	7425057	3861030	3863554	42417	NA	2247	NA	201	NA	1478	"Pacific"
"Malaysia"	33573872	1342955	1007216	508	NA	3688	NA	NA	NA	NA	"Pacific"
"Papua New Guinea"	9949437	9949437	9352470	NA	103635	651963	NA	NA	NA	NA	"Pacific"
"Philippines"	113880328	66050590	7760944	417033	NA	1329	NA	112	NA	2856	"Pacific"
"Republic of Korea"	51830140	3628110	0	NA	NA	14	NA	280	NA	NA	"Pacific"
"Solomon Islands"	707851	700772	700772	NA	45619	84139	NA	NA	NA	NA	"Pacific"
"Vanuatu"	319137	319137	277409	NA	NA	322	NA	NA	NA	NA	"Pacific"
"Viet Nam"	97468032	72126344	6625389	89500	NA	452	NA	NA	NA	15	"Pacific"
"Bangladesh"	169356256	18629188	2138969	NA	NA	7294	NA	NA	NA	NA	"SEAsia"
"Bhutan"	777486	575340	101073	7836	NA	23	NA	NA	NA	NA	"SEAsia"
"Democratic People's Republic of Korea"	25971908	10129044	1458842	NA	NA	2357	NA	NA	NA	NA	"SEAsia"
"India"	1407563904	1309034431	170751577	NA	NA	161753	NA	NA	NA	NA	"SEAsia"
"Indonesia"	273753184	273753184	17503778	NA	NA	228840	NA	42684	NA	33083	"SEAsia"
"Myanmar"	53798084	32278850	8506015	NA	NA	79001	NA	NA	NA	NA	"SEAsia"
"Nepal"	30034988	8710147	1569928	87907	144	275	133	69	NA	29	"SEAsia"
"Thailand"	71601104	13604210	1585248	222477	NA	2307	NA	207	NA	765	"SEAsia"
"Timor-Leste"	1320942	1241685	447370	NA	NA	0	NA	0	NA	0	"SEAsia"
