"country"	"P.falciparum_unconfirmed"	"P.falciparum_confirmed"	"P.falciparum_severe"	"P.falciparum_prevention_during_pregnancy"	"P.vivax_treatment"	"region"
"Angola"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	"artemether-lumefantrine+primaquine"	"Africa"
"Benin"	NA	"artemether-lumefantrine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Botswana"	NA	"artemether-lumefantrine+primaquine"	"artesunate"	NA	"artemether-lumefantrine+primaquine"	"Africa"
"Burkina Faso"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Burundi"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artemisinin; artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Cabo Verde"	NA	"artemether-lumefantrine+primaquine; artesunate+amodiaquine+primaquine"	"quinine"	NA	NA	"Africa"
"Cameroon"	NA	"artemether-lumefantrine; artesunate-pyronaridine; artesunate+amodiaquine; dihydroartemisinin-piperaquine"	"artemether; artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Central African Republic"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Chad"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemisinin; artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Comoros"	"artemether-lumefantrine"	"artemether-lumefantrine; artemether-lumefantrine+primaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Congo"	"artesunate+amodiaquine"	"artesunate+amodiaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"C™te d'Ivoire"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether-lumefantrine; artesunate+amodiaquine"	"quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Democratic Republic of the Congo"	"artesunate+amodiaquine"	"artemether-lumefantrine; artesunate-pyronaridine; artesunate+amodiaquine"	"artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Equatorial Guinea"	"artesunate+amodiaquine"	"artemether-lumefantrine; artesunate+amodiaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Eritrea"	"artesunate+amodiaquine"	"artesunate+amodiaquine+primaquine"	"artesunate"	NA	"artesunate+amodiaquine+primaquine"	"Africa"
"Eswatini"	NA	"artemether-lumefantrine+primaquine"	"artesunate"	NA	"primaquine"	"Africa"
"Ethiopia"	"artemether-lumefantrine+primaquine"	"artemether-lumefantrine+primaquine"	"artesunate+artemether-lumefantrine+primaquine"	"chloroquine"	"chloroquine+primaquine"	"Africa"
"Gabon"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether-lumefantrine; artesunate+amodiaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Gambia"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Ghana"	"artemether-lumefantrine; artesunate+amodiaquine; dihydroartemisinin-piperaquine"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether; artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	"artemether-lumefantrine+primaquine; artesunate+amodiaquine+primaquine; dihydroartemisinin-piperaquine+primaquine"	"Africa"
"Guinea"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artesunate-quinine; artesunate+artemether-lumefantrine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Guinea-Bissau"	"artemether-lumefantrine"	"artemether-lumefantrine"	"quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Kenya"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	"artemether-lumefantrine+primaquine"	"Africa"
"Liberia"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether; artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Madagascar"	"artesunate+amodiaquine"	"artesunate+amodiaquine+primaquine"	"artemisinin"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	"artesunate+amodiaquine"	"Africa"
"Malawi"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Mali"	"artemether-lumefantrine"	"artemether-lumefantrine+primaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	"artemether-lumefantrine"	"Africa"
"Mauritania"	"artesunate+amodiaquine"	"artesunate+amodiaquine+primaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	"artesunate+amodiaquine+primaquine"	"Africa"
"Mayotte"	NA	NA	NA	NA	NA	"Africa"
"Mozambique"	"artemether-lumefantrine"	"artesunate+amodiaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Namibia"	"artemether-lumefantrine"	"artemether-lumefantrine+primaquine"	"quinine"	NA	"artemether-lumefantrine+primaquine"	"Africa"
"Niger"	"artemether-lumefantrine"	"artemether-lumefantrine+primaquine"	"artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Nigeria"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether-lumefantrine; artesunate-pyronaridine; artesunate+amodiaquine; dihydroartemisinin-piperaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Rwanda"	"artemether-lumefantrine"	"artemether-lumefantrine"	"artesunate; quinine"	NA	"artemisinin combination therapy+primaquine "	"Africa"
"Sao Tome and Principe"	NA	"artesunate+mefloquine+primaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Senegal"	NA	"artemether-lumefantrine; artesunate+amodiaquine+primaquine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Sierra Leone"	"artemether-lumefantrine"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether; artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"South Africa"	"artemether-lumefantrine"	"artemether-lumefantrine+primaquine"	"artesunate; quinine"	NA	"artemether-lumefantrine+primaquine"	"Africa"
"South Sudan1"	"artesunate+amodiaquine"	"artesunate+amodiaquine"	"artemether; artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	"artesunate+amodiaquine+primaquine"	"Africa"
"Togo"	"artemether-lumefantrine; artesunate+amodiaquine"	"artemether-lumefantrine; artesunate+amodiaquine"	"artesunate; artemether; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
"Uganda"	NA	"artemether-lumefantrine"	"artesunate"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	"artemether-lumefantrine+primaquine"	"Africa"
"United Republic of Tanzania"	NA	NA	NA	NA	NA	"Africa"
"Mainland"	"artemether-lumefantrine"	"artemether-lumefantrine+primaquine"	"artemether; artesunate; quinine"	"sulfadoxine-pyrimethamine(intermittent preventive treatment)"	NA	"Africa"
